Ticker,Date,Open,High,Low,Close,Volume,Quarter,Split
MSFT,2025-03-06,389.70521049036057,397.4838909032578,388.12376908504734,392.2849426269531,23304600,Q1,train
NVDA,2025-03-06,113.36069823382532,115.17798387118098,110.0556366780344,110.40511322021484,321181900,Q1,train
QQQ,2025-03-06,490.0417668831769,494.895615354215,482.60712565033873,484.5923461914063,57574300,Q1,train
AAPL,2025-03-07,233.6727221740344,239.8944479764648,233.3248557337566,237.6085205078125,46273600,Q1,train
MSFT,2025-03-07,387.76795648683793,390.2191619837315,381.0666253730808,388.7464599609375,22034100,Q1,train
NVDA,2025-03-07,111.08408724577036,113.31076488585998,107.3995878917184,112.52194213867188,341755500,Q1,train
QQQ,2025-03-07,483.5599718062666,489.6347411717219,476.9789615630039,488.15576171875,54714700,Q1,train
AAPL,2025-03-10,234.10009611136832,234.71631625547707,222.84930513729452,226.08937072753903,72071200,Q1,train
MSFT,2025-03-10,381.3631114017718,381.9166113327009,372.8431337183802,375.7490234375,32840100,Q1,train
NVDA,2025-03-10,109.73609301585864,111.6831816739289,105.30271254146378,106.82044982910156,366487400,Q1,train
QQQ,2025-03-10,479.87744712390025,480.39359355913183,465.19673274957023,469.2366638183594,76668000,Q1,train
AAPL,2025-03-11,222.4418202229124,224.45940937640347,216.1206990584521,219.48997497558597,76137400,Q1,train
MSFT,2025-03-11,374.6024872406928,381.5212666884101,372.5367409966354,376.0356750488281,30380200,Q1,train
NVDA,2025-03-11,106.83043665954976,112.0726069900584,104.61374627233778,108.5978012084961,354865700,Q1,train
QQQ,2025-03-11,468.85944790641054,475.2717015064333,463.55891291656457,468.114990234375,68760800,Q1,train
AAPL,2025-03-12,218.7942505386503,220.39440897367027,213.5962265598192,215.653564453125,62547500,Q1,train
MSFT,2025-03-12,378.5066728711865,380.7503233781215,374.55308456142495,378.8229370117188,24253600,Q1,train
NVDA,2025-03-12,113.96030532134075,116.59661034457648,112.72203506897392,115.57803344726562,323857500,Q1,train
QQQ,2025-03-12,475.6191281711679,477.50508157643935,468.3035955192933,473.3956909179688,46971100,Q1,train
AAPL,2025-03-13,214.62986833256545,215.5144270476188,207.14590135231947,208.398193359375,61368300,Q1,train
MSFT,2025-03-13,378.71423026442886,380.8491715851453,373.0704913614682,374.3751525878906,20473000,Q1,train
