Date,Quarter,Split,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,factor_rel_mom_aapl_qqq_5d,factor_rel_mom_aapl_peers_5d,factor_peer_confirmation_5d,factor_peer_disagreement_5d,factor_rel_vol_aapl_qqq_10d,factor_volume_confirmed_mom_5d_20d,factor_market_aligned_mom_5d_20d,factor_close_pressure_5d,target_next_day_up,target_date
2025-02-05,Q1,train,226.88348940722173,230.9936609938165,226.62536810475493,230.79510498046875,39620300,517.9638671852232,523.11551659981,516.7727228160936,522.9566650390625,21134100,406.749979083578,408.2098602907994,404.8264495269334,407.6772155761719,16316700,121.57842315704724,124.8135892575584,120.57991444298676,124.6438446044922,262230800,-0.0403436670515771,-0.0005265674178738244,-0.028258602740057537,0.07478727766982285,1.6992311749120992,0.01004114875055843,-0.00012676461113292378,0.06268753930468421,1,2025-02-06
2025-02-06,Q1,train,229.62360070928509,232.11552641696264,228.76979621063217,231.53970336914065,29925300,523.4628423892975,525.8947492260023,521.8548188906348,525.686279296875,19434500,408.3775613386283,412.5205341470821,408.3775613386283,410.1728515625,16309800,127.22995239056334,128.57794497214795,125.02324949979864,128.48806762695312,251483600,-0.030915720586595863,-0.0355582515428039,0.01716521702428786,0.030330199959809123,1.6776060651681337,0.009264800644681962,-0.0005148231114761009,0.2375632410141893,0,2025-02-07
2025-02-07,Q1,train,230.9241838961893,232.31409120281864,225.6226456863809,225.989990234375,39707200,526.2223405922623,528.1678176426686,518.3310780658987,519.0556640625,29605500,410.8238533335017,412.96436600470287,402.5576561425311,404.1852416992188,22886800,129.0273069895586,130.17558600299384,124.81359867926386,129.64637756347656,228186300,-0.036672290499901394,-0.06975396281290042,0.03428794095418192,0.09416268594158461,1.7497417814825507,0.01215137702322598,-0.0005265456011859613,0.25284925205512954,1,2025-02-10
2025-02-10,Q1,train,228.1666073624245,229.1803610121675,225.81108525741095,226.25833129882807,33115600,523.3239005134812,526.4407109622551,522.8574028177311,525.3389282226562,20852800,408.0914590052598,409.8176925215145,405.33937124502273,406.6217041015625,20817900,129.89598286165247,134.79866384787866,129.76618710141213,133.3708038330078,216989100,-0.02198243429242097,-0.07453832192010112,0.07405723649107099,0.14178749097424337,2.2368593904166008,0.00021093504640084862,-2.0924555548439464e-05,0.20417473643234088,1,2025-02-11
2025-02-11,Q1,train,226.80497424991785,233.79199753404615,226.7354100570617,231.1979522705078,53718400,522.0732896066455,526.0039872775455,521.9442454321847,524.0882568359375,19325500,404.0767828884028,406.88805357704496,403.741373863551,405.8523254394531,18140600,132.38230132778313,134.27946199343057,130.8246300046561,132.6019744873047,178902400,-0.006385998617197686,-0.05817616828015343,0.05850164830211707,0.12151375269222064,2.1626573605586334,-3.002212771713891e-05,1.4440459326793318e-05,0.1573857875883964,1,2025-02-12
2025-02-12,Q1,train,229.78663009476247,235.51142789245532,229.26980470124647,235.4219665527344,45243300,518.4402741025981,525.2793726405877,518.0928847804781,524.3959350585938,25009400,401.6797299133385,405.1716621007933,398.87830316572246,403.4848937988281,19121700,129.8261026458349,132.04279313100764,128.88750205027108,130.94442749023438,160278600,0.017295307358661915,-8.514152548511067e-05,0.020132627249487833,0.06083212268374161,2.3175940305740776,-0.0047951495705997466,0.0009216410894231275,0.15886730554366635,1,2025-02-13
2025-02-13,Q1,train,235.4617298072221,240.85852795215615,234.1299251101732,240.0534820556641,53614100,526.0635838146525,532.2574623508953,525.2794434932922,531.9398803710938,28714800,401.4726062482461,405.4182829681306,400.8412835235649,404.9645385742188,23891700,131.36380821970238,136.29644386397356,130.9743904181038,135.08824157714844,197430000,0.024874204952989087,0.017435204396950843,0.019335071122276337,0.06406584051390818,2.163287152649678,-0.003998918402058368,0.0013663553791115634,0.1808116955995992,1,2025-02-14
2025-02-14,Q1,train,239.77522427175464,244.04894114679905,239.51681912694212,243.1047515869141,40896200,532.0489565555039,534.8580601398642,531.7114424599516,534.1731567382812,17862600,402.25191655873215,403.35670130819824,400.3678521686821,402.8832092285156,22758500,136.27645326854343,139.042326433892,135.29791907929888,138.64292907714844,195479600,0.04660739361652988,0.042646572911235414,0.033085813885141424,0.07261437894659672,2.1883712752850566,-0.02289161760619202,0.0037004091517586334,0.4752195273589136,0,2025-02-18
2025-02-18,Q1,train,242.65747382373945,243.6811760890431,240.3615975750387,242.97552490234372,48822500,535.7414804029439,536.0095045421328,532.078746365208,535.3841552734375,20565000,402.4590098668831,405.0237056562673,400.9793811541372,404.0767517089844,21423100,141.05932980350207,143.226091877041,137.72429913092634,139.19210815429688,219176600,0.05476400635939349,0.055191055531608635,0.018694372278059923,0.049906287849590836,1.803418050731022,-0.01129169850714324,0.0024966516653090157,0.6076568124661794,1,2025-02-19
2025-02-19,Q1,train,243.16435439309652,244.5060925083624,241.6735241546838,243.37306213378903,32204200,534.5901501639886,536.8135875991883,532.4957569178074,535.5331420898438,19666900,402.34067225656025,409.8473079963777,402.1137850010984,409.1370849609375,24114200,139.3019353271886,141.14918241151278,137.01535723812603,139.02235412597656,167536000,0.030823270237818612,0.02440501810935125,0.028255958096164657,0.04032494711224488,1.815767851015012,-0.021449887291924867,0.0014770805863176721,0.49788595104293687,1,2025-02-20
2025-02-20,Q1,train,243.442620363674,245.2713683243621,242.79658488378956,244.32717895507807,32316900,534.7488640035847,535.1161249242239,528.52523935916,533.2599487304688,26550800,410.47144681938056,414.4447923675228,407.75335474991726,411.30169677734375,23508700,139.8211794831435,140.45024487315197,136.5860056380014,139.90106201171875,143903600,0.020923314847593355,-0.0060601486057070275,0.04388674793601588,0.04902704910957656,1.7242935833337116,-0.014650708629377587,0.0004070823038821058,0.3887989016419511,0,2025-02-21
2025-02-21,Q1,train,244.44645306890683,247.1697083342209,243.72091995824803,244.0489044189453,53197400,534.4015384269126,534.4214100198424,521.8251828832033,522.1924438476562,47093800,412.4976109270871,413.19936436928833,403.1572771359109,403.4735412597656,27524800,139.83115735009994,141.24905316966826,133.83012530319377,134.22952270507812,228217600,0.03496820410292434,0.02166314559593341,-0.005019261370355799,0.0026749282901821214,1.3001381994414427,0.0002551320253785754,-0.00020498283141459045,0.22925993885975599,1,2025-02-24
