Date,target_date,actual,predicted,position,aapl_return,strategy_return,strategy_equity,buy_hold_equity
2025-11-17,2025-11-18,0,0,0,-7.493988505480331e-05,-0.0,0.9955498237633603,1.0479515732941833
2025-11-18,2025-11-19,1,0,0,0.004188023274068087,0.0,0.9955498237633603,1.0523404188732357
2025-11-19,2025-11-20,0,0,0,-0.008601474473370674,-0.0,0.9955498237633603,1.0432887396230013
2025-11-20,2025-11-21,1,1,1,0.01968061086817685,0.01968061086817685,1.015142852444729,1.0638212993306722
2025-11-21,2025-11-24,1,0,0,0.016317565960635383,0.0,1.015142852444729,1.0811802735528293
2025-11-24,2025-11-25,1,0,0,0.0038054503569113773,0.0,1.015142852444729,1.0852946514107065
2025-11-25,2025-11-26,1,0,0,0.002093995691360595,0.0,1.015142852444729,1.0875672537346173
2025-11-26,2025-11-28,1,0,0,0.00468386682792965,0.0,1.015142852444729,1.0926612739175274
2025-11-28,2025-12-01,1,0,0,0.01524117335723596,0.0,1.015142852444729,1.1093147138140427
2025-12-01,2025-12-02,1,0,0,0.010914842545035386,0.0,1.015142852444729,1.1214227092482139
2025-12-02,2025-12-03,0,0,0,-0.007128210814380975,-0.0,1.015142852444729,1.1134289717646584
2025-12-03,2025-12-04,0,0,0,-0.012141398148625804,-0.0,1.015142852444729,1.0999103873082485
2025-12-04,2025-12-05,0,0,0,-0.006840067419534801,-0.0,1.015142852444729,1.0923869261036134
2025-12-05,2025-12-08,0,0,0,-0.0031923330440991604,-0.0,1.015142852444729,1.088899663222471
2025-12-08,2025-12-09,0,0,0,-0.0025550638672366954,-0.0,1.015142852444729,1.0861174550379251
2025-12-09,2025-12-10,1,0,0,0.005772369311079162,0.0,1.015142852444729,1.0923869261036134
2025-12-10,2025-12-11,0,0,0,-0.0026902620286017864,-0.0,1.015142852444729,1.0894481190357759
2025-12-11,2025-12-12,1,0,0,0.0008992097080309236,0.0,1.015142852444729,1.0904277613608089
2025-12-12,2025-12-15,0,1,1,-0.014985057058964357,-0.014985057058964357,0.9999308788778449,1.0740876391381384
2025-12-15,2025-12-16,1,0,0,0.0018241385327160131,0.0,0.9999308788778449,1.0760469237882042
2025-12-16,2025-12-17,0,0,0,-0.010086925630541477,-0.0,0.9999308788778449,1.0651929184929796
2025-12-17,2025-12-18,1,0,0,0.0012874469253185694,0.0,0.9999308788778449,1.0665642978407646
2025-12-18,2025-12-19,1,0,0,0.005437604202852997,0.0,0.9999308788778449,1.0723638523493164
2025-12-19,2025-12-22,0,0,0,-0.009866070345355471,-0.0,0.9999308788778449,1.0617838351462217
2025-12-22,2025-12-23,1,0,0,0.005129732868573544,0.0,0.9999308788778449,1.0672305025846913
2025-12-23,2025-12-24,1,0,0,0.005323766193815027,0.0,0.9999308788778449,1.0729121882553598
2025-12-24,2025-12-26,0,1,1,-0.0014973429371301084,-0.0014973429371301084,0.9984336394387389,1.0713056707681148
2025-12-26,2025-12-29,1,1,1,0.0013168127155420706,0.0013168127155420706,0.9997483895507767,1.0727163796976145
2025-12-29,2025-12-30,0,1,1,-0.0024840667289872664,-0.0024840667289872664,0.997264947838935,1.070051680629168
2025-12-30,2025-12-31,0,1,1,-0.004467506365423368,-0.004467506365423368,0.992809660336451,1.0652712179346253
